% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
282	1	1	1	0	0	85	0	1	1	0
283	1	1	1	0	0	85	0	1	1	0
284	1	1	1	0	0	85	0	1	1	0
285	1	1	1	0	0	85	0	1	1	0
286	1	1	1	0	0	85	0	1	1	0
287	1	1	1	0	0	85	0	1	1	0
288	1	1	1	0	0	85	0	1	1	0
289	1	1	1	0	0	85	0	1	1	0
290	1	1	1	0	0	85	0	1	1	0
291	1	1	1	0	0	85	0	1	1	0
292	1	1	1	0	0	85	0	1	1	0
293	1	1	1	0	0	85	0	1	1	0
294	1	1	1	0	0	85	0	1	1	0
295	1	1	1	0	0	85	0	1	1	0
296	1	1	1	0	0	85	0	1	1	0
297	1	1	1	0	0	85	0	1	1	0
298	1	1	1	0	0	85	0	1	1	0
299	1	1	1	0	0	85	0	1	1	0
300	1	1	1	0	0	85	0	1	1	0
301	1	1	1	0	0	85	0	1	1	0
302	1	1	1	0	0	85	0	1	1	0
303	1	1	1	0	0	85	0	1	1	0
304	1	1	1	0	0	85	0	1	1	0
305	1	1	1	0	0	85	0	1	1	0
306	1	1	1	0	0	85	0	1	1	0
307	1	1	1	0	0	85	0	1	1	0
308	1	1	1	0	0	85	0	1	1	0
309	1	1	1	0	0	85	0	1	1	0
310	1	1	1	0	0	85	0	1	1	0
311	1	1	1	0	0	85	0	1	1	0
312	1	1	1	0	0	85	0	1	1	0
313	1	1	1	0	0	85	0	1	1	0
314	1	1	1	0	0	85	0	1	1	0
315	1	1	1	0	0	85	0	1	1	0
316	1	1	1	0	0	85	0	1	1	0
317	1	1	1	0	0	85	0	1	1	0
318	1	1	1	0	0	85	0	1	1	0
319	1	1	1	0	0	85	0	1	1	0
320	1	1	1	0	0	85	0	1	1	0
321	1	1	1	0	0	85	0	1	1	0
322	1	1	1	0	0	85	0	1	1	0
323	1	1	1	0	0	85	0	1	1	0
324	1	1	1	0	0	85	0	1	1	0
325	1	1	1	0	0	85	0	1	1	0
326	1	1	1	0	0	85	0	1	1	0
327	1	1	1	0	0	85	0	1	1	0
328	1	1	1	0	0	85	0	1	1	0
329	1	1	1	0	0	85	0	1	1	0
330	1	1	1	0	0	85	0	1	1	0
331	1	1	1	0	0	85	0	1	1	0
332	1	1	1	0	0	85	0	1	1	0
333	1	1	1	0	0	85	0	1	1	0
334	1	1	1	0	0	85	0	1	1	0
